course_name,course_id,review_id,content,rating,created,user_name
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,218783411,perfect to become noob to pro,5.0,2025-10-13T07:25:58-07:00,Suraj Kaushal
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,218631949,Explanation is very good,4.0,2025-10-10T23:16:44-07:00,Harish Sharma
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,218598575,Awesome,5.0,2025-10-10T09:06:51-07:00,Abhishek Awasthi
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,218520057,"The course should provide the approach on how to think critically; there are no videos on how to solve questions or when you see a question how one should think and start solving it, this course needs a lot of improvements. Not for absolute beginners...",2.5,2025-10-09T13:16:33-07:00,Ravia Ravia
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,218491915,like Always Krish courses are wonderful. Thanks a lot,5.0,2025-10-09T07:09:42-07:00,Mehrdad Maghsoudi
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,218473449,yeah the course has been covered in a well structured manner from basic to advance level and  moreover the practice questions and teaching methods using visualization and analogies is excellent for the understanding and grasp the  concept in a much better way thanks a lot,5.0,2025-10-09T04:02:29-07:00,62 Nithish Kumar.M
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,218438743,bro try to give  more example and cross question  related to each topic,5.0,2025-10-08T21:40:37-07:00,Harshvardhansingh Gaharwar
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,218240865,must ba,4.5,2025-10-06T22:52:12-07:00,Redmi Xiaomi
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,218198821,"ok , need more details about problems and how did we end up at that particular solution",2.5,2025-10-06T10:21:50-07:00,ISHAK BABA Shaik
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,218166951,it's easy to understand and quality of questions is also good,4.0,2025-10-06T04:29:31-07:00,Tanuj Yadav
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,217902407,this course is based on theory + coding practical example  it is good  course,4.5,2025-10-02T06:25:08-07:00,Manoj Jadhav
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,217878771,"Worst course. I Can't Recommend This Course To Anyone. In This Krish taught very well, but I could not understand anything from Mayank's teaching. He also did not cover Doubly or Circular Linked List topics.",1.0,2025-10-02T00:22:21-07:00,Uday Malviya
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,217810567,Each concept is very well explained with examples.,5.0,2025-10-01T04:21:29-07:00,Ramadevi
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,217506893,"very awesome explanation ,fast learning",5.0,2025-09-28T05:02:35-07:00,Abhinav Kumar
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,217497871,"Going very good bro.  Nicely explained and detail, clear steps",4.5,2025-09-28T01:55:28-07:00,Manish Kumar
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,217078841,you are good teacher and understanding person,5.0,2025-09-23T09:08:38-07:00,Govind Singh
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,217052221,nice experience and teaching.,4.5,2025-09-23T04:47:58-07:00,Priyanshu Priyanshu
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,216820805,"If you already mastered basic or even advance python, you will need to know DSA. Topics are covered in detail and very thorough, great knowledge to have as a Python developer. If you move to other languages like c/c++, c#, et,etc..even JavaScript you can transfer what you learn here over to there.",5.0,2025-09-20T07:35:49-07:00,Mike Harris
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,216796669,YES GOOD AT ALL FOR COMPLETE DSA IN PYTHON,4.0,2025-09-19T21:35:37-07:00,SATYAM MALVIYA
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,216675867,Well Structured!,5.0,2025-09-18T10:51:21-07:00,Deepak Chaudhary
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,216455297,amazing....,5.0,2025-09-16T09:02:38-07:00,Anshika
Complete Python With DSA Bootcamp + LEETCODE Exercises,6120747,216354935,So far nicely explained. Clarity is maintained well.,5.0,2025-09-15T10:19:55-07:00,Sayali Chavan
